DVM_S *구형,,,,,,,,0.5

품    명,모델명,단위,출고가,수량,납품가,소   계,비고,규격
DVM S 구형 프라임 10HP,AM100NXVHHH1,대,7502000,,3751000,0,초월 2대,구형 프라임
DVM S 구형 프라임 12HP,AM120NXVHHH1,대,8459000,,4229500,0,초월 2대,구형 프라임
DVM S 구형 프라임 14HP,AM140NXVHHH1,대,10120000,,5060000,0,초월 3대 (1대 파손),구형 프라임
DVM S 구형 프라임 16HP,AM160NXVHHH1,대,11572000,,5786000,0,초월 14대 (1대 파손),구형 프라임
DVM S 구형 프라임 18HP,AM180NXVHHH1,대,12320000,,6160000,0,초월 4대,구형 프라임
DVM S 구형 프라임 20HP,AM200NXVHHH1,대,13365000,,6682500,0,초월 1대,구형 프라임
DVM S 구형 고효율한랭지 12HP,AM120NXVSHH1,대,7524000,,3762000,0,초월 1대,구형 한랭지
DVM S 구형 고효율한랭지 16HP,AM160NXVSHH1,대,10505000,,5252500,0,초월 1대,구형 한랭지
DVM S 구형 고효율한랭지 18HP,AM180NXVSHH1,대,11077000,,5538500,0,초월 1대,구형 한랭지
DVM S 구형 고온형 10HP,AM100RXVVHH1,대,7502000,,3751000,0,초월 박스불량 1대,구형 고온형
DVM S 구형 고온형 12HP,AM120RXVVHH1,대,9240000,,4620000,0,초월 박스불량 1대,구형 고온형
DVM S 구형 공장전원 16HP,AM160FXVSJH1,대,11437800,,5718900,0,초월 1대,구형 공장전원
DVM S 구형 프리미엄 12HP,AM120NXVUHH1,대,6965200,,3482600,0,초월 1대,구형 프리미엄
DVM S 구형 표준형 8HP,AM080FXVGHH1,대,5412000,,2706000,0,초월 2대,구형 표준형
DVM S 구형 표준형 18HP,AM180FXVGHH1,대,10560000,,5280000,0,초월 4대,구형 표준형
DVM S 구형 표준형 30HP,AM300HXVGHH1,대,17369000,,8684500,0,초월 10대,구형 표준형
DVM S 구형 리뉴얼 12HP,AM120MXVRHC1,대,7810000,,3905000,0,초월 1대,구형 리뉴얼
DVM S 구형 상부토출(냉전) 14HP,AM140HXVGHC1,대,7161000,,3580500,0,초월 재설치 1대,구형 냉전
DVM S 구형 상부토출(냉전) 16HP,AM160HXVGHC1,대,8303900,,4151950,0,초월 재설치 1대,구형 냉전
DVM S 구형 상부토출(냉전) 20HP,AM200HXVGHC1,대,9916500,,4958250,0,초월 재설치 4대,구형 냉전
멀티 1way 실내기,AM072HN1DBH1,대,706200,,353100,0,상일 5대,구형 1w
홈멀티 구통신 실내기 6평형,NJ023WCXB3,대,345400,,172700,0,상일 3대,홈 구통신
홈멀티 구통신 실내기 13평형,NJ0521CXB2,대,522500,,261250,0,상일 15대,홈 구통신
홈멀티 구통신 실내기 18평형,NJ0721CXB2,대,624800,,312400,0,상일 2대,홈 구통신
실내기 싱글 4way 냉난방 15평형,NS0604DXB2,대,372240,,186120,0,상일 3대,구형 싱글 4w 냉난방
실내기 멀티 4way 15평형,AVXC4H060B1-E,대,486800,,243400,0,상일 1대,구형 4w
실내기 멀티 4way 28평형,AVXC4H100B2,대,781000,,390500,0,상일 1대,구형 4w
실내기 멀티 덕트 28평형,AVXDHH100B1,대,869000,,434500,0,상일 2대,구형 덕트
실내기 멀티 덕트 28평형,AVXDUH100B3,대,869000,,434500,0,상일 2대,구형 덕트
실내기 멀티 저정압 덕트 13평형,AM052FNLDBH1,대,726000,,363000,0,초월 2대,구형 저정압 덕트
실내기 멀티 중정압 덕트 23평형,AM083FNMDBH1,대,1023000,,511500,0,초월 1대,구형 중정압 덕트
판넬 1way 구통신 대형,AGSS1421W,대,193600,,135000,0,상일 165대 / 초월 박스불량 1대,구형 1w
판넬 4way 구통신,AG4S0957W,대,167200,,120000,0,초월 15대 / 상일 3대,구형 4w
판넬 4way 신통신 유풍,PC4NUSK1N,대,167200,,120000,0,상일 19대,구형 4w
판넬 4way 구통신,PC4NUSK1,대,167200,,120000,0,상일 0대,구형 4w
판넬 1way 신통신 유풍 대형,PC1BWSK1N,대,193600,,135000,0,상일 140대 / 초월 7대 (3대 박스불량),구형 1w
판넬 1way 신통신 유풍 소형,PC1MWSK1N,대,132000,,100000,0,상일 1대,구형 1w 소형
판넬 1way 구통신 중형,PC1NWSK2,대,140800,,100000,0,초월 1대(불량) / 상일 50대,구형 1w
판넬 1way 신통신 중형,PC1NWSK2N,대,140800,,100000,0,초월 박스불량 2대,구형 1w
운임,운임,-,0,0,,0,금액 선택(수량 자동)
절삭,절삭,-,0,0,,0,금액 선택(수량 자동)
