Repair scope: active slips only; header partner_name and blank partner_code only
Preimage rows: 17
Preimage SHA-256: 26F072B691D1E9A40AEC93EB92019CED87355758AD3195DC270ED8EA1C2C3EB0

slip_no | current_partner_name | restored_partner_name
2026/08/08-35 | ?? ????-??? | 동영 온라인점-송아름
2026/08/08-36 | ?? ????-??? | 동영 온라인점-송아름
2026/08/08-10 | (?)?????? | (주)한국냉동물류
2026/08/08-11 | (?)?????? | (주)한국냉동물류
2026/08/08-12 | (?)?????? | (주)한국냉동물류
2026/08/08-14 | (?)?????? | (주)한국냉동물류
2026/08/08-15 | (?)?????? | (주)한국냉동물류
2026/08/08-16 | (?)?????? | (주)한국냉동물류
2026/08/08-17 | (?)?????? | (주)한국냉동물류
2026/08/08-18 | (?)?????? | (주)한국냉동물류
2026/08/08-19 | (?)?????? | (주)한국냉동물류
2026/08/08-20 | (?)?????? | (주)한국냉동물류
2026/08/08-21 | (?)?????? | (주)한국냉동물류
2026/08/09-5 | ????? | 파인씨엔디
2026/08/09-6 | ????? | 파인씨엔디
2026/08/09-7 | ??????91?-??? | 국제전자센타91호-이영규
2026/08/09-8 | ????? | 파인씨엔디
