세트,구성품,구성품명,종류,전환 전(현행),전환 후(데이터),레거시 계산값,시트 값,차이(후-전),분류,원인 표지
AC023CS1DBC1SY,AC023CN1DBC1,무풍 1way 냉방전용 실내기,INDOOR,255720,256000,238000,238000,280,㉢,반올림단위;예약행있음
AC023CS1DBC1SY,AC023CX1DBC1,무풍 1way 냉방전용 실외기,OUTDOOR,383580,383300,358000,358000,-280,㉢,반올림단위;예약행있음
AC023CS1DBC1SY,AR-EC05,무선리모컨(냉방전용),REMOTE,16000,16000,16000,16000,0,동일,예약행있음
AC023CS1DBC1SY,PC1NWSK3NW,판넬 1way 무풍중형 WIFI 내장,PANEL,84700,84700,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC023CS1PBH1SY,AC023CN1PBH1,무풍 1way 냉난방 실내기,INDOOR,328554,329000,310000,310000,446,㉢,반올림단위;예약행있음
AC023CS1PBH1SY,AC023CX1PBH1,무풍 1way 냉난방 실외기,OUTDOOR,492831,492385,466000,466000,-446,㉢,반올림단위;예약행있음
AC023CS1PBH1SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC023CS1PBH1SY,PC1NWSK3NW,판넬 1way 무풍중형 WIFI 내장,PANEL,84700,84700,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC032CS1DBC1SY,AC032CN1DBC1,무풍 1way 냉방전용 실내기,INDOOR,283720,284000,266000,266000,280,㉢,반올림단위;예약행있음
AC032CS1DBC1SY,AC032CX1DBC1,무풍 1way 냉방전용 실외기,OUTDOOR,425580,425300,400000,400000,-280,㉢,반올림단위;예약행있음
AC032CS1DBC1SY,AR-EC05,무선리모컨(냉방전용),REMOTE,16000,16000,16000,16000,0,동일,예약행있음
AC032CS1DBC1SY,PC1NWSK3NW,판넬 1way 무풍중형 WIFI 내장,PANEL,84700,84700,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC032CS1PBH1SY,AC032CN1PBH1,무풍 1way 냉난방 실내기,INDOOR,344554,345000,326000,326000,446,㉢,반올림단위;예약행있음
AC032CS1PBH1SY,AC032CX1PBH1,무풍 1way 냉난방 실외기,OUTDOOR,516831,516385,490000,490000,-446,㉢,반올림단위;예약행있음
AC032CS1PBH1SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC032CS1PBH1SY,PC1NWSK3NW,판넬 1way 무풍중형 WIFI 내장,PANEL,84700,84700,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC040CS1DBC1SY,AC040CN1DBC1,무풍 1way 냉방전용 실내기,INDOOR,335720,336000,318000,318000,280,㉢,반올림단위;예약행있음
AC040CS1DBC1SY,AC040CX1DBC1,무풍 1way 냉방전용 실외기,OUTDOOR,503580,503300,478000,478000,-280,㉢,반올림단위;예약행있음
AC040CS1DBC1SY,AR-EC05,무선리모컨(냉방전용),REMOTE,16000,16000,16000,16000,0,동일,예약행있음
AC040CS1DBC1SY,PC1NWSK3NW,판넬 1way 무풍중형 WIFI 내장,PANEL,84700,84700,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC040CS1PBH1SY,AC040CN1PBH1,무풍 1way 냉난방 실내기,INDOOR,428554,429000,410000,410000,446,㉢,반올림단위;예약행있음
AC040CS1PBH1SY,AC040CX1PBH1,무풍 1way 냉난방 실외기,OUTDOOR,642831,642385,616000,616000,-446,㉢,반올림단위;예약행있음
AC040CS1PBH1SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC040CS1PBH1SY,PC1NWSK3NW,판넬 1way 무풍중형 WIFI 내장,PANEL,84700,84700,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC052CS1DBC1SY,AC052CN1DBC1,무풍 1way 냉방전용 실내기,INDOOR,378168,378000,374000,374000,-168,㉢,반올림단위;예약행있음
AC052CS1DBC1SY,AC052CX1DBC1,무풍 1way 냉방전용 실외기,OUTDOOR,567252,567420,562000,562000,168,㉢,반올림단위;예약행있음
AC052CS1DBC1SY,AR-EC05,무선리모컨(냉방전용),REMOTE,16000,16000,16000,16000,0,동일,예약행있음
AC052CS1DBC1SY,PC1BWSK3NW,판넬 1way 무풍대형 WIFI 내장,PANEL,118580,118580,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC052CS1PBH1SY,AC052CN1PBH1,무풍 1way 냉난방 실내기,INDOOR,531002,531000,526000,526000,-2,㉢,반올림단위;예약행있음
AC052CS1PBH1SY,AC052CX1PBH1,무풍 1way 냉난방 실외기,OUTDOOR,796503,796505,790000,790000,2,㉢,반올림단위;예약행있음
AC052CS1PBH1SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC052CS1PBH1SY,PC1BWSK3NW,판넬 1way 무풍대형 WIFI 내장,PANEL,118580,118580,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC060BS4PBH7SY,AC060BN4PBH1,무풍 4way 냉난방 프리미엄 실내기,INDOOR,472810,473000,462000,462000,190,㉢,반올림단위;예약행있음
AC060BS4PBH7SY,AC060BXAPBH3,무풍 4way 냉난방 프리미엄 실외기,OUTDOOR,709215,709025,694000,694000,-190,㉢,반올림단위;예약행있음
AC060BS4PBH7SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC060BS4PBH7SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC060CS1DBC1SY,AC060CN1DBC1,무풍 1way 냉방전용 실내기,INDOOR,382168,382000,378000,378000,-168,㉢,반올림단위;예약행있음
AC060CS1DBC1SY,AC060CX1DBC1,무풍 1way 냉방전용 실외기,OUTDOOR,573252,573420,568000,568000,168,㉢,반올림단위;예약행있음
AC060CS1DBC1SY,AR-EC05,무선리모컨(냉방전용),REMOTE,16000,16000,16000,16000,0,동일,예약행있음
AC060CS1DBC1SY,PC1BWSK3NW,판넬 1way 무풍대형 WIFI 내장,PANEL,118580,118580,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC060CS1PBH1SY,AC060CN1PBH1,무풍 1way 냉난방 실내기,INDOOR,551002,551000,546000,546000,-2,㉢,반올림단위;예약행있음
AC060CS1PBH1SY,AC060CX1PBH1,무풍 1way 냉난방 실외기,OUTDOOR,826503,826505,820000,820000,2,㉢,반올림단위;예약행있음
AC060CS1PBH1SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC060CS1PBH1SY,PC1BWSK3NW,판넬 1way 무풍대형 WIFI 내장,PANEL,118580,118580,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC060CS4DBC1SY,AC060CN4DBC1,무풍 4way 냉방전용 실내기,INDOOR,455976,456000,446000,446000,24,㉢,반올림단위;예약행있음
AC060CS4DBC1SY,AC060CXADBC1,무풍 4way 냉방전용 실외기,OUTDOOR,683964,683940,670000,670000,-24,㉢,반올림단위;예약행있음
AC060CS4DBC1SY,AR-EC05,무선리모컨(냉방전용),REMOTE,16000,16000,16000,16000,0,동일,예약행있음
AC060CS4DBC1SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC060CS4FBH2SY,AC060CN4FBH1,무풍 4way 냉난방 1등급 실내기,INDOOR,688810,689000,678000,678000,190,㉢,반올림단위;예약행있음
AC060CS4FBH2SY,AC060CXAFBH1,무풍 4way 냉난방 1등급 실외기,OUTDOOR,1033215,1033025,1018000,1018000,-190,㉢,반올림단위;예약행있음
AC060CS4FBH2SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC060CS4FBH2SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC060CS4PBH2SY,AC060CN4PBH1,무풍 4way 냉난방 프레스티지 실내기,INDOOR,556810,557000,546000,546000,190,㉢,반올림단위;예약행있음
AC060CS4PBH2SY,AC060CXAPBH1,360 CST UV 실외기,OUTDOOR,835215,835025,820000,820000,-190,㉢,반올림단위;예약행있음
AC060CS4PBH2SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC060CS4PBH2SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC060CS6PBH1SY,AC060CN6PBH1,360 CST UV 실내기,INDOOR,616810,617000,606000,606000,190,㉢,반올림단위;예약행있음
AC060CS6PBH1SY,AC060CXAPBH1,360 CST UV 실외기,OUTDOOR,925215,925025,910000,910000,-190,㉢,반올림단위;예약행있음
AC060CS6PBH1SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC060CS6PBH1SY,PC6NUNK1NW,판넬 (360CST / 원형 / WIFI),PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC072BS4PBH7SY,AC072BN4PBH5,무풍 4way 냉난방 프리미엄 실내기,INDOOR,516810,517000,506000,506000,190,㉢,반올림단위;예약행있음
AC072BS4PBH7SY,AC072BXAPBH5,무풍 4way 냉난방 프리미엄 실외기,OUTDOOR,775215,775025,760000,760000,-190,㉢,반올림단위;예약행있음
AC072BS4PBH7SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC072BS4PBH7SY,PC4NUFK1NW,판넬 4way 무풍 WIFI 내장,PANEL,104060,104060,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC072BSCPBH2SY,AC072BNCPBH1,싱글 실링 실내기,INDOOR,566434,566000,566000,566000,-434,㉠,반올림단위;예약행있음
AC072BSCPBH2SY,AC072BXAPBH5,무풍 4way 냉난방 프리미엄 실외기,OUTDOOR,849651,850085,848000,848000,434,㉢,반올림단위;예약행있음
AC072BSCPBH2SY,AR-EH05,무선리모컨(냉난방전용),REMOTE,13915,13915,16000,16000,0,동일,고정액-시트불일치;예약행있음
AC072CS1DBC1SY,AC072CN1DBC1,무풍 1way 냉방전용 실내기,INDOOR,410168,410000,406000,406000,-168,㉢,반올림단위;예약행있음
AC072CS1DBC1SY,AC072CX1DBC1,무풍 1way 냉방전용 실외기,OUTDOOR,615252,615420,610000,610000,168,㉢,반올림단위;예약행있음
AC072CS1DBC1SY,AR-EC05,무선리모컨(냉방전용),REMOTE,16000,16000,16000,16000,0,동일,예약행있음
AC072CS1DBC1SY,PC1BWSK3NW,판넬 1way 무풍대형 WIFI 내장,PANEL,118580,118580,128000,128000,0,동일,고정액-시트불일치;예약행있음
AC072CS4DBC1SY,AC072CN4DBC1,무풍 4way 냉방전용 실내기,INDOOR,463976,464000,454000,454000,24,㉢,반올림단위;예약행있음
AC072CS4DBC1SY,AC072CXADBC1,무풍 4way 냉방전용 실외기,OUTDOOR,695964,695940,682000,682000,-24,㉢,반올림단위;예약행있음
