source_kind,bundle_model_code,component_model_code,context_release_price,context_delivery_price,default_qty,sheet_row
SINGLE,AC060CS6PBH1SY,PC6NUNK1NW,189200,128000,1,6
SINGLE,AC060CS6PBH1SY,PC6NUDK1NW,189200,128000,1,7
SINGLE,AC060CS6PBH1SY,PC6NBNK1NW,272800,188000,1,8
SINGLE,AC060CS6PBH1SY,PC6NBDK1NW,272800,188000,1,9
SINGLE,AC060CS6PBH1SY,PC6EUCK1NW,1012000,678000,1,10
SINGLE,AC060CS6PBH1SY,PC6NUCK1NW,1012000,678000,1,11
SINGLE,AC060CS6PBH1SY,PC6EUXK1NW,279400,188000,1,12
SINGLE,AC060CS6PBH1SY,PC6NUXK1NW,279400,188000,1,13
SINGLE,AC060CS6PBH1SY,AR-EH05,25300,16000,1,14
SINGLE,AC060CS6PBH1SY,AWR-WG00N,137500,91000,1,15
SINGLE,AC060CS6PBH1SY,AWR-WE13N,82500,56000,1,16
SINGLE,AC072CS6PBH1SY,PC6NUNK1NW,189200,128000,1,20
SINGLE,AC072CS6PBH1SY,PC6NUDK1NW,189200,128000,1,21
SINGLE,AC072CS6PBH1SY,PC6NBNK1NW,272800,188000,1,22
SINGLE,AC072CS6PBH1SY,PC6NBDK1NW,272800,188000,1,23
SINGLE,AC072CS6PBH1SY,PC6EUCK1NW,1012000,678000,1,24
SINGLE,AC072CS6PBH1SY,PC6NUCK1NW,1012000,678000,1,25
SINGLE,AC072CS6PBH1SY,PC6EUXK1NW,279400,188000,1,26
SINGLE,AC072CS6PBH1SY,PC6NUXK1NW,279400,188000,1,27
SINGLE,AC072CS6PBH1SY,AR-EH05,25300,16000,1,28
SINGLE,AC072CS6PBH1SY,AWR-WG00N,137500,91000,1,29
SINGLE,AC072CS6PBH1SY,AWR-WE13N,82500,56000,1,30
SINGLE,AC090CS6PBH1SY,PC6NUNK1NW,189200,128000,1,34
SINGLE,AC090CS6PBH1SY,PC6NUDK1NW,189200,128000,1,35
SINGLE,AC090CS6PBH1SY,PC6NBNK1NW,272800,188000,1,36
SINGLE,AC090CS6PBH1SY,PC6NBDK1NW,272800,188000,1,37
SINGLE,AC090CS6PBH1SY,PC6EUCK1NW,1012000,678000,1,38
SINGLE,AC090CS6PBH1SY,PC6NUCK1NW,1012000,678000,1,39
SINGLE,AC090CS6PBH1SY,PC6EUXK1NW,279400,188000,1,40
SINGLE,AC090CS6PBH1SY,PC6NUXK1NW,279400,188000,1,41
SINGLE,AC090CS6PBH1SY,AR-EH05,25300,16000,1,42
SINGLE,AC090CS6PBH1SY,AWR-WG00N,137500,91000,1,43
SINGLE,AC090CS6PBH1SY,AWR-WE13N,82500,56000,1,44
SINGLE,AC100CS6PBH1SY,PC6NUNK1NW,189200,128000,1,48
SINGLE,AC100CS6PBH1SY,PC6NUDK1NW,189200,128000,1,49
SINGLE,AC100CS6PBH1SY,PC6NBNK1NW,272800,188000,1,50
SINGLE,AC100CS6PBH1SY,PC6NBDK1NW,272800,188000,1,51
SINGLE,AC100CS6PBH1SY,PC6EUCK1NW,1012000,678000,1,52
