계열,코드,필드,원천값,현행 DB값,상태,금액영향,비고
발송금지,3128640516,blocked_at,2026-04-25T22:36:20Z,,누락,아니오,문서 기반; 원천 CSV 부재
발송금지,1428116616,blocked_at,2026-04-25T22:36:54Z,,누락,아니오,문서 기반; 원천 CSV 부재
발송금지,6348602237,blocked_at,2026-04-25T22:36:57Z,,누락,아니오,문서 기반; 원천 CSV 부재
발송금지,1068616876,blocked_at,2026-04-25T22:36:49Z,,누락,아니오,문서 기반; 원천 CSV 부재
발송금지,1138620591,blocked_at,2026-04-25T22:36:40Z,,누락,아니오,문서 기반; 원천 CSV 부재
발송금지,2188121662,blocked_at,2026-04-25T22:36:46Z,,누락,아니오,문서 기반; 원천 CSV 부재
단톡방,2988801865,chat_room_name,한성시스템에어컨 발주방,,누락,아니오,문서 기반; 원천 CSV 부재
단톡방,4238103359,chat_room_name,한성시스템에어컨 발주방,,누락,예,문서 기반; 원천 CSV 부재
단톡방,6068199542,chat_room_name,미래정보시스템 발주방,에스에이솔루텍 발주방,drift,예,문서 기반; 원천 CSV 부재
DC,6973700076,commercial_discount_rate,,0.46,현행에만,예,문서 기반; 원천 CSV 부재
DC,2291465974,commercial_discount_rate,0.48 또는 0.47,0.47,충돌,예,원천 중복; 선택 필요
지역분류,인천광역시,keywords,서해구,서구,drift,아니오,선택 필요
