partner_code,source_value,source_note_presence
1050647786,"홈=0.45; 상업=0.46",없음
1071654133,"상업=0.47",없음
1098648979,"상업=0.45",없음
1108606305,"상업=0.47",없음
1134400635,"홈=0.45; 상업=0.46",없음
1140436334,"홈=0.45; 상업=0.46",없음
1191669454,"홈=0.45; 상업=0.46",없음
1221050231,"홈=0.45; 상업=0.45",없음
1244393480,"홈=0.45",없음
1244430575,"홈=0.45; 상업=0.46",없음
1258157102,"홈=0.45; 상업=0.46",없음
1262829773,"홈=0.45; 상업=0.46",없음
1291757461,"홈=0.45; 상업=0.46",없음
1304695112,"홈=0.45; 상업=0.45",없음
1371097505,"상업=0.46",없음
1380445028,"상업=0.47",없음
1388119934,"홈=0.45; 상업=0.45",없음
1420368630,"홈=0.45; 상업=0.46",없음
1453200599,"홈=0.45; 상업=0.45",없음
1482800849,"홈=0.45; 상업=0.45",없음
1638802229,"홈=0.46",없음
1741300830,"홈=0.45; 상업=0.46",없음
1850703122,"홈=0.47; 상업=0.47",없음
1965300234,"홈=0.45",없음
2031555957,"4way=60000; 1way=50000; 스탠드=60000; 디럭스=20000; 1등급=20000",없음
2050187424,"상업=0.48",없음
2100518868,"홈=0.45; 상업=0.47",없음
2122422127,"홈=0.46; 상업=0.46",없음
2148824216,"홈=0.45; 상업=0.45",없음
2170623210,"상업=0.45",없음
2241625985,"홈=0.45; 상업=0.45",없음
2402700828,"상업=0.45",없음
2544700897,"홈=0.45",없음
2780101953,"홈=0.45",없음
2848803001,"상업=0.48",없음
2863800330,"홈=0.46; 상업=0.46",없음
3013114338,"홈=0.45",없음
3018175344,"홈=0.45; 상업=0.45",없음
3030996427,"홈=0.45; 상업=0.45",없음
3140238957,"홈=0.45",없음
3141952184,"홈=0.45; 상업=0.45",없음
3198802666,"홈=0.45",없음
3208601227,"홈=0.45; 상업=0.45",없음
3365200096,"홈=0.45; 상업=0.46",없음
3372201956,"홈=0.45; 상업=0.45",없음
3585500762,"홈=0.45",없음
3738103340,"상업=0.48",없음
3855600742,"홈=0.45; 상업=0.45; I호스=true",없음
3870602891,"홈=0.45; 상업=0.45",없음
4094034931,"홈=0.47; 상업=0.46",없음
4110985726,"홈=0.45; 상업=0.45",없음
4158800272,"홈=0.45; 상업=0.45",없음
4161455949,"상업=0.46",없음
4221102392,"홈=0.45; 상업=0.45",없음
4238103359,"홈=0.48; 상업=0.48; I호스=true",없음
4313701515,"4way=70000; 1way=50000; 스탠드=70000; 디럭스=20000",없음
4371102526,"홈=0.45; 상업=0.45",없음
4417400309,"홈=0.45; 상업=0.46",없음
4480403721,"홈=0.45; 상업=0.45",없음
4560801794,"상업=0.45",없음
4598800796,"홈=0.45; 상업=0.45",없음
4888800270,"상업=0.47",없음
5080783386,"홈=0.45",없음
5128115645,"홈=0.45; 상업=0.47; 4way=20000; 스탠드=20000",없음
5131958636,"홈=0.45",없음
5182302250,"홈=0.45; 상업=0.45",없음
5208800856,"홈=0.45",없음
5384900784,"홈=0.45",없음
5498102711,"홈=0.46",없음
5683601090,"홈=0.45; 상업=0.46",없음
5688801217,"홈=0.45; 상업=0.45",없음
5761400649,"홈=0.45; 상업=0.45",없음
5997900544,"홈=0.45",없음
6068199542,"홈=0.45; 상업=0.45",있음
6330501008,"홈=0.45; 상업=0.45",없음
6531502257,"기본/공란",없음
6696700326,"홈=0.45",없음
6778101910,"상업=0.45",없음
6796000358,"상업=0.45",없음
6840700879,"홈=0.45",없음
6862500957,"홈=0.45",없음
7138803227,"4way=30000; 1way=30000; 스탠드=30000; 디럭스=30000",없음
7312401114,"상업=0.46",없음
7393101872,"홈=0.45; 상업=0.47",없음
7670200863,"상업=0.47",없음
7702702201,"상업=0.45",없음
7998702583,"홈=0.45; 상업=0.45; 4way=30000; 1way=30000; 스탠드=30000",없음
8060901429,"홈=0.45",없음
8248600996,"상업=0.45",없음
8635800509,"홈=0.45; 상업=0.47",있음
8886200882,"홈=0.45",없음
8900100263,"홈=0.45; 상업=0.45",없음
