"parent_model_code","line_no","component_model_code","quantity","unit_price","component_kind","set_head"
"AC023CS1DBC1SY","1","AC023CN1DBC1","1.00","255700.00","INDOOR","True"
"AC023CS1DBC1SY","2","AC023CX1DBC1","1.00","383600.00","OUTDOOR","False"
"AC023CS1DBC1SY","3","PC1NWSK3NW","1.00","84700.00","PANEL","False"
"AC023CS1DBC1SY","4","AR-EC05","1.00","16000.00","REMOTE","False"
"AC023CS1PBH1SY","1","AC023CN1PBH1","1.00","328615.00","INDOOR","True"
"AC023CS1PBH1SY","2","AC023CX1PBH1","1.00","492770.00","OUTDOOR","False"
"AC023CS1PBH1SY","3","PC1NWSK3NW","1.00","84700.00","PANEL","False"
"AC023CS1PBH1SY","4","AR-EH05","1.00","13915.00","REMOTE","False"
"AC032CS1DBC1SY","1","AC032CN1DBC1","1.00","283700.00","INDOOR","True"
"AC032CS1DBC1SY","2","AC032CX1DBC1","1.00","425600.00","OUTDOOR","False"
"AC032CS1DBC1SY","3","PC1NWSK3NW","1.00","84700.00","PANEL","False"
"AC032CS1DBC1SY","4","AR-EC05","1.00","16000.00","REMOTE","False"
"AC032CS1PBH1SY","1","AC032CN1PBH1","1.00","344615.00","INDOOR","True"
"AC032CS1PBH1SY","2","AC032CX1PBH1","1.00","516770.00","OUTDOOR","False"
"AC032CS1PBH1SY","3","PC1NWSK3NW","1.00","84700.00","PANEL","False"
"AC032CS1PBH1SY","4","AR-EH05","1.00","13915.00","REMOTE","False"
"AC040CS1DBC1SY","1","AC040CN1DBC1","1.00","335700.00","INDOOR","True"
"AC040CS1DBC1SY","2","AC040CX1DBC1","1.00","503600.00","OUTDOOR","False"
"AC040CS1DBC1SY","3","PC1NWSK3NW","1.00","84700.00","PANEL","False"
"AC040CS1DBC1SY","4","AR-EC05","1.00","16000.00","REMOTE","False"
"AC040CS1PBH1SY","1","AC040CN1PBH1","1.00","428615.00","INDOOR","True"
"AC040CS1PBH1SY","2","AC040CX1PBH1","1.00","642770.00","OUTDOOR","False"
"AC040CS1PBH1SY","3","PC1NWSK3NW","1.00","84700.00","PANEL","False"
"AC040CS1PBH1SY","4","AR-EH05","1.00","13915.00","REMOTE","False"
"AC052CS1DBC1SY","1","AC052CN1DBC1","1.00","377580.00","INDOOR","True"
"AC052CS1DBC1SY","2","AC052CX1DBC1","1.00","567840.00","OUTDOOR","False"
"AC052CS1DBC1SY","3","PC1BWSK3NW","1.00","118580.00","PANEL","False"
"AC052CS1DBC1SY","4","AR-EC05","1.00","16000.00","REMOTE","False"
"AC052CS1PBH1SY","1","AC052CN1PBH1","1.00","530495.00","INDOOR","True"
"AC052CS1PBH1SY","2","AC052CX1PBH1","1.00","797010.00","OUTDOOR","False"
"AC052CS1PBH1SY","3","PC1BWSK3NW","1.00","118580.00","PANEL","False"
"AC052CS1PBH1SY","4","AR-EH05","1.00","13915.00","REMOTE","False"
"AC060BS4PBH7SY","1","AC060BN4PBH1","1.00","472975.00","INDOOR","True"
"AC060BS4PBH7SY","2","AC060BXAPBH3","1.00","709050.00","OUTDOOR","False"
"AC060BS4PBH7SY","3","PC4NUFK1NW","1.00","104060.00","PANEL","False"
"AC060BS4PBH7SY","4","AR-EH05","1.00","13915.00","REMOTE","False"
"AC060CS1DBC1SY","1","AC060CN1DBC1","1.00","381580.00","INDOOR","True"
"AC060CS1DBC1SY","2","AC060CX1DBC1","1.00","573840.00","OUTDOOR","False"
"AC060CS1DBC1SY","3","PC1BWSK3NW","1.00","118580.00","PANEL","False"
"AC060CS1DBC1SY","4","AR-EC05","1.00","16000.00","REMOTE","False"
"AC060CS1PBH1SY","1","AC060CN1PBH1","1.00","550495.00","INDOOR","True"
"AC060CS1PBH1SY","2","AC060CX1PBH1","1.00","827010.00","OUTDOOR","False"
"AC060CS1PBH1SY","3","PC1BWSK3NW","1.00","118580.00","PANEL","False"
"AC060CS1PBH1SY","4","AR-EH05","1.00","13915.00","REMOTE","False"
"AC060CS4DBC1SY","1","AC060CN4DBC1","1.00","455060.00","INDOOR","True"
"AC060CS4DBC1SY","2","AC060CXADBC1","1.00","684880.00","OUTDOOR","False"
"AC060CS4DBC1SY","3","PC4NUFK1NW","1.00","104060.00","PANEL","False"
"AC060CS4DBC1SY","4","AR-EC05","1.00","16000.00","REMOTE","False"
"AC060CS4FBH2SY","1","AC060CN4FBH1","1.00","688975.00","INDOOR","True"
"AC060CS4FBH2SY","2","AC060CXAFBH1","1.00","1033050.00","OUTDOOR","False"
"AC060CS4FBH2SY","3","PC4NUFK1NW","1.00","104060.00","PANEL","False"
"AC060CS4FBH2SY","4","AR-EH05","1.00","13915.00","REMOTE","False"
"AC060CS4PBH2SY","1","AC060CN4PBH1","1.00","556975.00","INDOOR","True"
"AC060CS4PBH2SY","2","AC060CXAPBH1","1.00","835050.00","OUTDOOR","False"
"AC060CS4PBH2SY","3","PC4NUFK1NW","1.00","104060.00","PANEL","False"
"AC060CS4PBH2SY","4","AR-EH05","1.00","13915.00","REMOTE","False"
"AC060CS6PBH1SY","1","AC060CN6PBH1","1.00","616975.00","INDOOR","True"
"AC060CS6PBH1SY","2","AC060CXAPBH1","1.00","925050.00","OUTDOOR","False"
"AC060CS6PBH1SY","3","PC6NUNK1NW","1.00","104060.00","PANEL","False"
"AC060CS6PBH1SY","4","AR-EH05","1.00","13915.00","REMOTE","False"
"AC072BS4PBH7SY","1","AC072BN4PBH5","1.00","516975.00","INDOOR","True"
"AC072BS4PBH7SY","2","AC072BXAPBH5","1.00","775050.00","OUTDOOR","False"
"AC072BS4PBH7SY","3","PC4NUFK1NW","1.00","104060.00","PANEL","False"
"AC072BS4PBH7SY","4","AR-EH05","1.00","13915.00","REMOTE","False"
