
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v3.3.5)

2026-08-14T18:00:49.224+09:00  INFO 74700 --- [auth-service] [           main] c.s.logis.auth.AuthServiceApplication    : Starting AuthServiceApplication v0.1.0-SNAPSHOT using Java 17.0.18 with PID 74700 (C:\dev\Samhan-Public\.claude\worktrees\w901\services\auth-service\build\libs\auth-service.jar started by user in C:\dev\Samhan-Public\.claude\worktrees\w901)
2026-08-14T18:00:49.227+09:00  INFO 74700 --- [auth-service] [           main] c.s.logis.auth.AuthServiceApplication    : No active profile set, falling back to 1 default profile: "default"
2026-08-14T18:00:50.634+09:00  INFO 74700 --- [auth-service] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-08-14T18:00:50.813+09:00  INFO 74700 --- [auth-service] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 170 ms. Found 13 JPA repository interfaces.
2026-08-14T18:00:51.098+09:00  INFO 74700 --- [auth-service] [           main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=51618a43-40bb-3956-a426-f9df96b6a4a6
2026-08-14T18:00:51.592+09:00  WARN 74700 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [lbRestClientPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
2026-08-14T18:00:51.596+09:00  WARN 74700 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'deferringLoadBalancerInterceptor' of type [org.springframework.cloud.client.loadbalancer.DeferringLoadBalancerInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-08-14T18:00:52.350+09:00  INFO 74700 --- [auth-service] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 29481 (http)
2026-08-14T18:00:52.400+09:00  INFO 74700 --- [auth-service] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2026-08-14T18:00:52.400+09:00  INFO 74700 --- [auth-service] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.31]
2026-08-14T18:00:52.555+09:00  INFO 74700 --- [auth-service] [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
