
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v3.3.5)

2026-08-14T18:51:30.647+09:00  INFO 86444 --- [auth-service] [           main] c.s.logis.auth.AuthServiceApplication    : Starting AuthServiceApplication v0.1.0-SNAPSHOT using Java 17.0.18 with PID 86444 (C:\dev\Samhan-Public\.claude\worktrees\w901\services\auth-service\build\libs\auth-service.jar started by user in C:\dev\Samhan-Public\.claude\worktrees\w901)
2026-08-14T18:51:30.650+09:00  INFO 86444 --- [auth-service] [           main] c.s.logis.auth.AuthServiceApplication    : No active profile set, falling back to 1 default profile: "default"
2026-08-14T18:51:31.961+09:00  INFO 86444 --- [auth-service] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-08-14T18:51:32.116+09:00  INFO 86444 --- [auth-service] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 149 ms. Found 13 JPA repository interfaces.
2026-08-14T18:51:32.374+09:00  INFO 86444 --- [auth-service] [           main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=dd759796-ac56-3b66-a428-e12252c7d0c9
2026-08-14T18:51:32.932+09:00  WARN 86444 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerAutoConfiguration$DeferringLoadBalancerInterceptorConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). The currently created BeanPostProcessor [lbRestClientPostProcessor] is declared through a non-static factory method on that class; consider declaring it as static instead.
2026-08-14T18:51:32.937+09:00  WARN 86444 --- [auth-service] [           main] trationDelegate$BeanPostProcessorChecker : Bean 'deferringLoadBalancerInterceptor' of type [org.springframework.cloud.client.loadbalancer.DeferringLoadBalancerInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [lbRestClientPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-08-14T18:51:33.642+09:00  INFO 86444 --- [auth-service] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 29481 (http)
2026-08-14T18:51:33.681+09:00  INFO 86444 --- [auth-service] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2026-08-14T18:51:33.683+09:00  INFO 86444 --- [auth-service] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.31]
2026-08-14T18:51:33.831+09:00  INFO 86444 --- [auth-service] [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
