# #863 R1 라이브QA — heartbeat 시계열 (정상 가동 = 양성 대조군)
# cron=0 */5 * * * * (배포 기본값), profile=dev, 컨테이너 기동 2026-07-21 21:03:47 KST
# 형식: <벽시계 KST>  <outbox_scheduler_heartbeat_seconds>
21:10:16  309.848
21:10:32  0.174
21:10:47  13.798
21:11:02  30.766
21:11:17  44.374
21:11:32  61.403
21:11:47  75.068
21:12:03  92.052
21:12:18  105.689
21:12:33  119.321
21:12:48  136.307
21:13:03  149.947
21:13:18  166.907
21:13:33  180.57
21:13:49  197.536
21:14:04  211.237
21:14:19  228.241
21:14:34  241.894
21:14:49  258.855
21:15:05  272.497
21:15:20  286.138
21:15:35  6.456
21:15:50  20.106
21:16:05  37.066
